id,key,description,status,assignee,issuetype,project,created,updated,creator,reporter,priority,labels,layer,customer
661236,IIAB-2709,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T11:23:37.000+0100,2023-12-12T12:40:01.000+0100,admin,admin,Medium,,Affiliate,
661233,IIAB-2707,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T11:21:27.000+0100,2023-12-12T12:43:58.000+0100,admin,admin,Medium,,,
661221,IIAB-2705,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T11:11:29.000+0100,2023-12-12T12:19:14.000+0100,admin,admin,Medium,,,
661213,IIAB-2703,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T11:03:50.000+0100,2023-12-12T12:56:54.000+0100,admin,admin,Medium,,Affiliate,
661173,IIAB-2702,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T10:16:33.000+0100,2023-12-12T11:38:21.000+0100,admin,admin,Medium,,Affiliate,
661168,IIAB-2701,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T10:10:20.000+0100,2023-12-12T11:29:27.000+0100,admin,admin,Medium,,Affiliate,
661166,IIAB-2700,,New,-,Story,JSW-IIAB-RGI,2023-12-12T10:04:03.000+0100,2023-12-12T10:04:06.000+0100,admin,admin,Medium,,GEL,
661122,IIAB-2699,,New,-,Story,JSW-IIAB-RGI,2023-12-12T09:30:35.000+0100,2023-12-12T10:49:05.000+0100,admin,admin,Medium,,Product,
661028,IIAB-2698,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-12T07:24:14.000+0100,2023-12-12T11:00:49.000+0100,admin,admin,High,,,
660757,IIAB-2697,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T22:48:27.000+0100,2023-12-12T09:21:27.000+0100,admin,admin,Medium,,,
660756,IIAB-2696,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T22:47:01.000+0100,2023-12-12T09:11:44.000+0100,admin,admin,Medium,,,
660755,IIAB-2695,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T22:45:28.000+0100,2023-12-12T09:14:17.000+0100,admin,admin,Medium,,,
660754,IIAB-2694,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T22:42:14.000+0100,2023-12-12T09:14:29.000+0100,admin,admin,Medium,,,
660753,IIAB-2693,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T22:13:37.000+0100,2023-12-12T13:16:12.000+0100,admin,admin,Lowest,,Affiliate,
660752,IIAB-2692,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T22:07:50.000+0100,2023-12-12T13:04:29.000+0100,admin,admin,Medium,,Affiliate,
660750,IIAB-2691,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T21:48:56.000+0100,2023-12-12T13:02:04.000+0100,admin,admin,Medium,,Affiliate,
660749,IIAB-2690,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T21:45:08.000+0100,2023-12-12T12:59:16.000+0100,admin,admin,Medium,,Affiliate,
660748,IIAB-2689,,In Analysis,filippo.grimaldi,Bug,JSW-IIAB-RGI,2023-12-11T21:06:20.000+0100,2023-12-12T10:35:53.000+0100,francesca.favaretto,francesca.favaretto,Medium,,Product,
660747,IIAB-2688,,New,-,Story,JSW-IIAB-RGI,2023-12-11T20:38:15.000+0100,2023-12-12T09:30:45.000+0100,admin,admin,Medium,,Product,
660746,IIAB-2687,,New,-,Story,JSW-IIAB-RGI,2023-12-11T20:08:50.000+0100,2023-12-11T20:54:21.000+0100,admin,admin,Medium,,Product,
660721,IIAB-2686,,New,-,Story,JSW-IIAB-RGI,2023-12-11T19:46:06.000+0100,2023-12-11T20:09:00.000+0100,admin,admin,Medium,,Product,
660630,IIAB-2685,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T18:04:49.000+0100,2023-12-11T18:26:50.000+0100,francesco.golia,francesco.golia,Medium,,,
660627,IIAB-2684,,In Progress,sergey.sharunin,Sub-task,JSW-IIAB-RGI,2023-12-11T18:01:38.000+0100,2023-12-12T12:04:00.000+0100,francesco.golia,francesco.golia,High,,,
660498,IIAB-2683,,Deferred,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T17:20:42.000+0100,2023-12-12T09:31:35.000+0100,admin,admin,Medium,,Affiliate,
660464,IIAB-2682,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T17:09:46.000+0100,2023-12-11T17:38:29.000+0100,admin,admin,Medium,,GEL,
660458,IIAB-2681,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T17:02:48.000+0100,2023-12-12T09:53:00.000+0100,admin,admin,Medium,,GEL,
660441,IIAB-2680,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T16:45:39.000+0100,2023-12-12T10:43:57.000+0100,admin,admin,Medium,,Affiliate,
660413,IIAB-2679,,New,-,Story,JSW-IIAB-RGI,2023-12-11T16:08:25.000+0100,2023-12-11T19:59:39.000+0100,admin,admin,Medium,,Product,
660398,IIAB-2678,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T15:49:03.000+0100,2023-12-11T16:59:36.000+0100,admin,admin,Medium,,,
660393,IIAB-2677,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T15:43:57.000+0100,2023-12-12T09:39:28.000+0100,admin,admin,Critical,,,
660392,IIAB-2676,,New,-,Task,JSW-IIAB-RGI,2023-12-11T15:43:55.000+0100,2023-12-11T15:44:08.000+0100,francesca.favaretto,francesca.favaretto,Medium,,Affiliate,
660383,IIAB-2675,,New,-,Story,JSW-IIAB-RGI,2023-12-11T15:37:11.000+0100,2023-12-11T19:59:51.000+0100,admin,admin,Medium,,Product,
660379,IIAB-2674,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T15:32:18.000+0100,2023-12-12T11:29:04.000+0100,admin,admin,Critical,,,
660351,IIAB-2673,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T14:50:52.000+0100,2023-12-11T14:59:42.000+0100,admin,admin,Low,,,
660349,IIAB-2672,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T14:46:57.000+0100,2023-12-11T14:58:37.000+0100,admin,admin,High,,,
660339,IIAB-2671,,New,-,Task,JSW-IIAB-RGI,2023-12-11T14:32:17.000+0100,2023-12-11T14:58:14.000+0100,sabrina.maletto,sabrina.maletto,Medium,,Product,
660337,IIAB-2670,,Waiting,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T14:28:30.000+0100,2023-12-11T17:06:31.000+0100,admin,admin,High,,,
660336,IIAB-2669,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T14:26:31.000+0100,2023-12-11T14:30:19.000+0100,admin,admin,High,,,
660334,IIAB-2668,,New,-,Bug,JSW-IIAB-RGI,2023-12-11T14:21:02.000+0100,2023-12-11T14:21:02.000+0100,francesca.favaretto,francesca.favaretto,High,,Product,
660331,IIAB-2667,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T14:13:00.000+0100,2023-12-11T14:18:56.000+0100,admin,admin,High,,,
660307,IIAB-2666,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T13:38:13.000+0100,2023-12-11T13:38:13.000+0100,francesco.golia,francesco.golia,Medium,,,
660306,IIAB-2665,,New,christian.mariani,Sub-task,JSW-IIAB-RGI,2023-12-11T13:38:12.000+0100,2023-12-11T13:41:23.000+0100,francesco.golia,francesco.golia,Medium,,,
660305,IIAB-2664,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T13:38:11.000+0100,2023-12-11T13:38:11.000+0100,francesco.golia,francesco.golia,Medium,,,
660304,IIAB-2663,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T13:38:09.000+0100,2023-12-11T13:38:09.000+0100,francesco.golia,francesco.golia,Medium,,,
660303,IIAB-2662,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T13:38:08.000+0100,2023-12-11T13:38:08.000+0100,francesco.golia,francesco.golia,Medium,,,
660302,IIAB-2661,,New,christian.mariani,Task,JSW-IIAB-RGI,2023-12-11T13:38:07.000+0100,2023-12-11T13:40:08.000+0100,francesco.golia,francesco.golia,Medium,,,
660298,IIAB-2660,,Waiting,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T13:33:04.000+0100,2023-12-11T14:46:12.000+0100,admin,admin,High,,,
660293,IIAB-2659,,Waiting,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T13:26:54.000+0100,2023-12-11T14:13:36.000+0100,admin,admin,High,,,
660286,IIAB-2658,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T13:15:25.000+0100,2023-12-12T09:29:28.000+0100,admin,admin,Medium,,Affiliate,
660240,IIAB-2657,,New,-,Bug,JSW-IIAB-RGI,2023-12-11T12:07:12.000+0100,2023-12-12T10:28:51.000+0100,alice.albasi,alice.albasi,Critical,,Affiliate,
660234,IIAB-2656,,New,-,Story,JSW-IIAB-RGI,2023-12-11T11:59:30.000+0100,2023-12-11T12:11:05.000+0100,admin,admin,High,,Affiliate,
660230,IIAB-2655,,New,federico.trevisani,Bug,JSW-IIAB-RGI,2023-12-11T11:55:27.000+0100,2023-12-11T11:55:27.000+0100,elena.dettore,elena.dettore,High,,,
660196,IIAB-2654,,New,-,Story,JSW-IIAB-RGI,2023-12-11T11:25:28.000+0100,2023-12-11T12:11:12.000+0100,admin,admin,High,,Product,
660176,IIAB-2653,,Closed,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T11:08:08.000+0100,2023-12-11T15:00:39.000+0100,admin,admin,Critical,,,
660173,IIAB-2652,,New,-,Story,JSW-IIAB-RGI,2023-12-11T11:05:10.000+0100,2023-12-11T11:48:53.000+0100,admin,admin,High,,Product,
660172,IIAB-2651,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T11:03:29.000+0100,2023-12-11T15:33:57.000+0100,admin,admin,Medium,,,
660167,IIAB-2650,,New,giulia.molinaro,Task,JSW-IIAB-RGI,2023-12-11T11:00:16.000+0100,2023-12-11T14:27:11.000+0100,giulia.molinaro,giulia.molinaro,Medium,,Affiliate,
660159,IIAB-2649,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T10:53:13.000+0100,2023-12-12T11:12:33.000+0100,admin,admin,Medium,,,
660144,IIAB-2648,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T10:41:05.000+0100,2023-12-11T10:41:05.000+0100,francesco.golia,francesco.golia,Medium,,,
660143,IIAB-2647,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T10:41:03.000+0100,2023-12-11T10:41:03.000+0100,francesco.golia,francesco.golia,Medium,,,
660142,IIAB-2646,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T10:41:01.000+0100,2023-12-11T10:41:01.000+0100,francesco.golia,francesco.golia,Medium,,,
660141,IIAB-2645,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T10:40:59.000+0100,2023-12-11T10:40:59.000+0100,francesco.golia,francesco.golia,Medium,,,
660140,IIAB-2644,,New,-,Sub-task,JSW-IIAB-RGI,2023-12-11T10:40:58.000+0100,2023-12-11T10:44:39.000+0100,francesco.golia,francesco.golia,Medium,,,
660139,IIAB-2643,,New,sergey.sharunin,Task,JSW-IIAB-RGI,2023-12-11T10:40:56.000+0100,2023-12-11T10:45:23.000+0100,francesco.golia,francesco.golia,Medium,,,
660104,IIAB-2642,,New,-,Bug,JSW-IIAB-RGI,2023-12-11T10:14:12.000+0100,2023-12-11T10:15:52.000+0100,elena.dettore,elena.dettore,Medium,,,
660077,IIAB-2641,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-11T09:52:26.000+0100,2023-12-11T16:28:20.000+0100,admin,admin,Low,,Country,
660066,IIAB-2640,,Analyzed,federico.attygala,Bug,JSW-IIAB-RGI,2023-12-11T09:45:42.000+0100,2023-12-12T00:25:19.000+0100,alessandra.pozzi,alessandra.pozzi,Medium,,Product,
660060,IIAB-2639,,Developed,federico.attygala,Bug,JSW-IIAB-RGI,2023-12-11T09:43:41.000+0100,2023-12-12T00:16:45.000+0100,alessandra.pozzi,alessandra.pozzi,Medium,,Product,
660035,IIAB-2638,,Developed,federico.attygala,Bug,JSW-IIAB-RGI,2023-12-11T09:15:39.000+0100,2023-12-11T12:21:52.000+0100,alessandra.pozzi,alessandra.pozzi,Medium,,Product,
660029,IIAB-2637,,Developed,federico.attygala,Bug,JSW-IIAB-RGI,2023-12-11T09:07:36.000+0100,2023-12-11T12:21:49.000+0100,alessandra.pozzi,alessandra.pozzi,Medium,,Product,
660025,IIAB-2636,,Developed,federico.attygala,Bug,JSW-IIAB-RGI,2023-12-11T09:00:36.000+0100,2023-12-11T12:21:44.000+0100,alessandra.pozzi,alessandra.pozzi,Medium,,Product,
659209,IIAB-2635,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T15:03:17.000+0100,2023-12-11T10:34:48.000+0100,admin,admin,Medium,,,
659208,IIAB-2634,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T14:47:06.000+0100,2023-12-12T09:05:08.000+0100,admin,admin,Medium,,,
659207,IIAB-2633,,Waiting,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T14:35:15.000+0100,2023-12-12T09:34:58.000+0100,admin,admin,Medium,,,
659206,IIAB-2632,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T14:10:18.000+0100,2023-12-11T11:14:07.000+0100,admin,admin,Medium,,,
659205,IIAB-2631,,Re-opened,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T13:48:00.000+0100,2023-12-12T11:21:08.000+0100,admin,admin,Medium,,,
659204,IIAB-2630,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T13:36:06.000+0100,2023-12-11T10:45:24.000+0100,admin,admin,Medium,,,
659203,IIAB-2629,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T13:11:09.000+0100,2023-12-11T17:55:39.000+0100,admin,admin,Medium,,,
659202,IIAB-2628,,Cancelled,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T12:28:20.000+0100,2023-12-11T10:58:08.000+0100,admin,admin,High,,,
659201,IIAB-2627,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T11:26:15.000+0100,2023-12-11T15:23:10.000+0100,admin,admin,Medium,,,
659200,IIAB-2626,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T11:04:40.000+0100,2023-12-11T12:56:56.000+0100,admin,admin,High,,,
659199,IIAB-2625,,Closed,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T08:50:16.000+0100,2023-12-12T12:33:13.000+0100,admin,admin,Medium,,,
659198,IIAB-2624,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T08:39:44.000+0100,2023-12-09T10:36:56.000+0100,admin,admin,High,,,
659197,IIAB-2623,,Duplicated,-,Customer Defect,JSW-IIAB-RGI,2023-12-09T08:12:37.000+0100,2023-12-11T11:56:57.000+0100,admin,admin,High,,,
658826,IIAB-2622,,Deferred,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T17:14:49.000+0100,2023-12-11T15:59:45.000+0100,admin,admin,High,,,
658805,IIAB-2621,,New,-,Story,JSW-IIAB-RGI,2023-12-08T13:33:03.000+0100,2023-12-08T13:50:12.000+0100,admin,admin,Medium,,,
658804,IIAB-2620,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T13:30:19.000+0100,2023-12-12T10:29:22.000+0100,admin,admin,High,,,
658803,IIAB-2619,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T13:28:13.000+0100,2023-12-11T11:30:27.000+0100,admin,admin,Low,,,
658802,IIAB-2618,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T13:24:10.000+0100,2023-12-11T11:32:20.000+0100,admin,admin,Lowest,,,
658801,IIAB-2617,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T12:40:43.000+0100,2023-12-11T11:42:59.000+0100,admin,admin,Low,,,
658797,IIAB-2616,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T12:24:30.000+0100,2023-12-11T12:22:35.000+0100,admin,admin,Low,,Product,
658795,IIAB-2615,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T12:20:59.000+0100,2023-12-11T12:03:42.000+0100,admin,admin,Low,,,
658790,IIAB-2614,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T11:36:19.000+0100,2023-12-11T09:51:39.000+0100,admin,admin,High,,,
658786,IIAB-2613,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T11:16:13.000+0100,2023-12-11T09:53:10.000+0100,admin,admin,Medium,,,
658785,IIAB-2612,,Specified,-,Story,JSW-IIAB-RGI,2023-12-08T11:15:39.000+0100,2023-12-08T11:37:54.000+0100,admin,admin,Medium,,Country,
658784,IIAB-2611,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T10:53:22.000+0100,2023-12-11T12:15:52.000+0100,admin,admin,Low,,,
658783,IIAB-2610,,New,-,Story,JSW-IIAB-RGI,2023-12-08T10:46:12.000+0100,2023-12-08T13:37:51.000+0100,admin,admin,Medium,,,
658781,IIAB-2609,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T10:26:09.000+0100,2023-12-11T12:09:33.000+0100,admin,admin,Lowest,,,
658780,IIAB-2608,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T10:12:44.000+0100,2023-12-11T11:00:07.000+0100,admin,admin,Medium,,,
658776,IIAB-2607,,Waiting,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T09:10:02.000+0100,2023-12-11T17:01:47.000+0100,admin,admin,High,,,
658775,IIAB-2606,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T08:41:04.000+0100,2023-12-11T12:15:23.000+0100,admin,admin,Low,,Product,
658773,IIAB-2605,,In Analysis,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T08:03:15.000+0100,2023-12-11T17:10:22.000+0100,admin,admin,Medium,,,
658772,IIAB-2604,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-08T07:23:30.000+0100,2023-12-08T09:02:59.000+0100,admin,admin,Medium,,,
658402,IIAB-2603,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T19:41:19.000+0100,2023-12-11T10:20:53.000+0100,admin,admin,Medium,,Affiliate,
658401,IIAB-2602,,Analyzed,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T19:39:16.000+0100,2023-12-11T17:41:25.000+0100,admin,admin,Medium,,Affiliate,
658399,IIAB-2601,,Ready for test,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T19:29:29.000+0100,2023-12-11T15:43:24.000+0100,admin,admin,Medium,,Affiliate,
658398,IIAB-2600,,Cancelled,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T19:22:28.000+0100,2023-12-11T17:49:04.000+0100,admin,admin,Medium,,Affiliate,
658383,IIAB-2599,,New,-,Story,JSW-IIAB-RGI,2023-12-07T18:01:02.000+0100,2023-12-11T19:59:57.000+0100,admin,admin,Medium,,Product,
658379,IIAB-2598,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T17:52:26.000+0100,2023-12-12T09:19:58.000+0100,admin,admin,Medium,,,
658373,IIAB-2597,,Deferred,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T17:38:08.000+0100,2023-12-12T10:27:22.000+0100,admin,admin,Lowest,,Product,
658369,IIAB-2596,,Analyzed,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T17:19:07.000+0100,2023-12-07T17:44:24.000+0100,admin,admin,Medium,,,
658368,IIAB-2595,,In Analysis,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T17:15:46.000+0100,2023-12-07T18:44:17.000+0100,admin,admin,Medium,,,
658367,IIAB-2594,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T17:14:27.000+0100,2023-12-12T12:19:17.000+0100,admin,admin,Critical,,,
658353,IIAB-2593,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T16:40:40.000+0100,2023-12-12T11:25:16.000+0100,admin,admin,High,,,
658345,IIAB-2592,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T16:18:47.000+0100,2023-12-12T09:06:40.000+0100,admin,admin,Medium,,,
658344,IIAB-2591,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T16:18:26.000+0100,2023-12-11T11:04:29.000+0100,admin,admin,Low,,,
658342,IIAB-2590,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T16:17:14.000+0100,2023-12-07T17:29:46.000+0100,admin,admin,Medium,,,
658339,IIAB-2589,,In Analysis,-,Story,JSW-IIAB-RGI,2023-12-07T16:12:21.000+0100,2023-12-11T14:53:27.000+0100,admin,admin,High,,Affiliate,
658335,IIAB-2588,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T16:06:42.000+0100,2023-12-12T10:29:41.000+0100,admin,admin,Critical,,,
658330,IIAB-2587,,In Progress,-,Task,JSW-IIAB-RGI,2023-12-07T16:01:57.000+0100,2023-12-07T16:10:35.000+0100,monica.achenza,monica.achenza,Medium,LinkCommSalesNetwork,Affiliate,
658321,IIAB-2586,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T15:54:33.000+0100,2023-12-11T17:41:13.000+0100,admin,admin,High,,Affiliate,
658317,IIAB-2585,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T15:51:00.000+0100,2023-12-11T16:11:38.000+0100,admin,admin,Medium,,,
658302,IIAB-2584,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T15:24:20.000+0100,2023-12-11T12:08:54.000+0100,admin,admin,Medium,,,
658299,IIAB-2583,,Tested,elena.dettore,Bug,JSW-IIAB-RGI,2023-12-07T15:18:56.000+0100,2023-12-12T09:58:13.000+0100,elena.dettore,elena.dettore,Critical,,,
658294,IIAB-2582,,In Analysis,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T15:04:21.000+0100,2023-12-11T14:14:57.000+0100,admin,admin,Low,,,
658288,IIAB-2581,,In Analysis,-,Story,JSW-IIAB-RGI,2023-12-07T14:54:01.000+0100,2023-12-11T14:53:28.000+0100,admin,admin,High,,Affiliate,
658286,IIAB-2580,,In Analysis,alberto.manetta,Bug,JSW-IIAB-RGI,2023-12-07T14:49:30.000+0100,2023-12-12T12:06:21.000+0100,enrico.traversa,enrico.traversa,Medium,IIAB_NO_LIFE,Product,
658270,IIAB-2579,,In Analysis,-,Story,JSW-IIAB-RGI,2023-12-07T14:25:16.000+0100,2023-12-11T14:53:28.000+0100,admin,admin,High,,Affiliate,
658264,IIAB-2578,,Waiting,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T14:13:41.000+0100,2023-12-11T10:52:36.000+0100,admin,admin,Medium,,,
658261,IIAB-2577,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T14:06:34.000+0100,2023-12-07T14:50:01.000+0100,admin,admin,Medium,,,
658257,IIAB-2576,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T13:52:35.000+0100,2023-12-07T15:06:32.000+0100,admin,admin,High,,,
658255,IIAB-2575,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T13:40:50.000+0100,2023-12-11T12:41:53.000+0100,admin,admin,High,,,
658215,IIAB-2574,,Closed,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T13:17:58.000+0100,2023-12-11T16:26:10.000+0100,admin,admin,Critical,,,
658213,IIAB-2573,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T13:08:58.000+0100,2023-12-12T11:38:52.000+0100,admin,admin,Critical,,,
658206,IIAB-2572,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T12:55:13.000+0100,2023-12-11T10:11:33.000+0100,admin,admin,Medium,,,
658205,IIAB-2571,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T12:54:15.000+0100,2023-12-11T18:53:05.000+0100,admin,admin,Low,,Product,
658200,IIAB-2570,,Analyzed,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T12:46:18.000+0100,2023-12-12T13:05:15.000+0100,admin,admin,Medium,,,
658197,IIAB-2569,,Rejected,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T12:42:53.000+0100,2023-12-11T08:15:10.000+0100,admin,admin,Low,,Product,
658174,IIAB-2568,,Duplicated,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T12:17:00.000+0100,2023-12-09T11:38:40.000+0100,admin,admin,Medium,,,
658170,IIAB-2567,,Open,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T12:08:13.000+0100,2023-12-11T12:33:12.000+0100,admin,admin,Medium,,,
658151,IIAB-2566,,Duplicated,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T11:46:11.000+0100,2023-12-11T08:57:31.000+0100,admin,admin,Medium,,,
658131,IIAB-2565,,Re-opened,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T11:21:26.000+0100,2023-12-07T11:51:10.000+0100,admin,admin,Medium,,,
658119,IIAB-2564,,Dev in progress,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T11:08:12.000+0100,2023-12-11T12:41:55.000+0100,admin,admin,Medium,,Affiliate,
658111,IIAB-2563,,Deferred,-,Customer Defect,JSW-IIAB-RGI,2023-12-07T10:53:28.000+0100,2023-12-09T11:51:12.000+0100,admin,admin,High,,,
